date,price_pos_52w,price_pos_78w,price_pos_104w,stu_wmt,oni_lag0,oni_lag6,oni_lag12,oni_lag15,oni_lag18,oni_lag24,spi3_nolook,flowering_drought_nolook,cot_index,rv_daily,rv_monthly
2019-02-28,0.0,0.0,0.0,22.65188979699124,0.89,0.14,-0.77,-0.6,0.19,-0.19,1.017169494769971,0.0,19.94767363767498,1.3348132231898255,0.05723846291548697
2019-03-31,0.0,0.0,0.0,22.65188979699124,0.86,0.27,-0.71,-0.77,-0.07,-0.02,1.017169494769971,0.0,17.469179422190816,1.0522052493699021,0.056704929360059206
2019-04-30,0.0,0.0,0.0,22.65188979699124,0.84,0.53,-0.57,-0.86,-0.34,0.18,1.017169494769971,0.0,20.61927315412333,2.1628668007809604,0.05707550300323704
2019-05-31,0.6115108361194953,0.37117905578964444,0.2689873331130359,22.65188979699124,0.77,0.81,-0.39,-0.77,-0.6,0.31,1.017169494769971,0.0,26.96442858561142,2.3732346838591827,0.07334878240344142
2019-06-30,0.786570874153036,0.5149137303477205,0.3459915822349715,19.97689362132933,0.64,0.97,-0.13,-0.71,-0.77,0.4,1.017169494769971,0.0,47.382221884800245,3.5704485603331886,0.06374362331826486
2019-07-31,0.37410089316980666,0.24489806673289177,0.21487614422541984,19.97689362132933,0.52,0.92,0.06,-0.57,-0.86,0.39,1.017169494769971,0.0,48.90178879071207,2.4746856136688775,0.0703871267450523
2019-08-31,0.08393285985953858,0.05494505757737845,0.048342535323354564,19.97689362132933,0.33,0.89,0.14,-0.39,-0.77,0.19,1.017169494769971,0.0,35.68412630742906,1.4687119488397837,0.061408889480925107
2019-09-30,0.4460433444779826,0.29199383037064475,0.2699565113496365,19.97689362132933,0.19,0.86,0.27,-0.13,-0.71,-0.07,1.017169494769971,0.0,37.00688535504254,1.324074223487991,0.0655441731483102
2019-10-31,0.6158535081953189,0.3171114272525821,0.29317843634417234,19.97689362132933,0.23,0.84,0.53,0.06,-0.57,-0.34,1.017169494769971,0.0,30.160658284326036,1.6047941604587417,0.05651374424541299
2019-11-30,1.0,1.0,0.7772927442122648,19.97689362132933,0.39,0.77,0.81,0.14,-0.39,-0.6,1.017169494769971,0.0,80.72062721777304,3.2390178404724352,0.07160059795945749
2019-12-31,1.0,1.0,1.0,21.024158306333813,0.58,0.64,0.97,0.27,-0.13,-0.77,-1.8183554998048912,1.8183554998048912,98.73104441344552,4.230119152128384,0.07949429159889734
2020-01-31,0.28533694814127986,0.28533694814127986,0.28533694814127986,21.024158306333813,0.66,0.52,0.92,0.53,0.06,-0.86,-1.8183554998048912,1.8183554998048912,84.38104666336679,1.8773892434505333,0.13268244854529798
2020-02-29,0.48216646593732204,0.48216646593732204,0.48216646593732204,21.024158306333813,0.64,0.33,0.89,0.81,0.14,-0.77,-1.8183554998048912,1.8183554998048912,61.70119760094111,2.9324802365457265,0.12624587330502232
2020-03-31,0.7318363459532456,0.7318363459532456,0.7318363459532456,21.024158306333813,0.63,0.19,0.86,0.97,0.27,-0.71,-1.8183554998048912,1.8183554998048912,85.20580351116283,8.770165381972609,0.1329722203838575
2020-04-30,0.3060942802997401,0.3381771087919453,0.3381771087919453,21.024158306333813,0.53,0.23,0.84,0.92,0.53,-0.57,-1.8183554998048912,1.8183554998048912,81.45293486156557,2.886419698547238,0.1498823528025254
2020-05-31,0.07479237373298643,0.11756947838926002,0.11756947838926002,21.024158306333813,0.3,0.39,0.77,0.89,0.81,-0.39,-1.8183554998048912,1.8183554998048912,75.94769897339307,1.791682096752096,0.1399002399061703
2020-06-30,0.17867049446720895,0.2166447796092577,0.2166447796092577,24.94407158836689,0.01,0.58,0.64,0.86,0.97,-0.13,-1.8183554998048912,1.8183554998048912,55.5126284865744,1.021522630555124,0.14018313459747472
2020-07-31,0.7022160538952291,0.7159841365026737,0.7159841365026737,24.94407158836689,-0.23,0.66,0.52,0.84,0.92,0.06,-1.8183554998048912,1.8183554998048912,67.99069175436003,3.798432678331215,0.16327118174090177
2020-08-31,1.0,1.0,1.0,24.94407158836689,-0.36,0.64,0.33,0.77,0.89,0.14,-1.8183554998048912,1.8183554998048912,94.44012316711772,2.0523751184863532,0.16696802836189906
2020-09-30,0.4373132506413253,0.5032937067253058,0.5032937067253058,24.94407158836689,-0.53,0.63,0.19,0.64,0.86,0.27,-1.8183554998048912,1.8183554998048912,89.9609640710123,3.178046877991255,0.18557265191456607
2020-10-31,0.24179099922749567,0.29834258801253666,0.330698327745481,24.94407158836689,-0.85,0.53,0.23,0.52,0.84,0.53,-1.8183554998048912,1.8183554998048912,75.13221352714437,0.8912655408288344,0.1892133049902385
2020-11-30,0.7283580267607281,0.748618647713174,0.7602106717826831,24.94407158836689,-1.12,0.3,0.39,0.33,0.77,0.81,-1.8183554998048912,1.8183554998048912,77.56751622411649,2.9975542375780546,0.1875046129511087
2020-12-31,0.9537312521863339,0.9571822415537661,0.9591567097551498,24.991233267633223,-1.2,0.01,0.58,0.19,0.64,0.97,-1.7615063518649543,1.7615063518649543,80.66710380370505,1.3068504425011445,0.1831057985539765
2021-01-31,0.7955222058652057,0.8107733359860584,0.8194992021805394,24.991233267633223,-1.08,-0.23,0.66,0.23,0.52,0.92,-1.7615063518649543,1.7615063518649543,82.27205039740659,1.3320474577963441,0.13017825439358668
